Sl. No.,States/UTs,Total waste generation (Metric Tonnes Per Day) - Dec-2016,Total waste generation (Metric Tonnes Per Day) - Dec-2017,Total waste generation (Metric Tonnes Per Day) - Dec-2018,Total waste processing (in percentage) - Dec-2016,Total waste processing (in percentage) - Dec-2017,Total waste processing (in percentage) - Dec-2018
1,Andhra Pradesh,6440,6525,6384,8,7,31
2,Andaman and Nicobar,100,115,100,35,23,54
3,Arunachal Pradesh,181,181,181,15,0,20
4,Assam,650,1134,1134,10,7,41
5,Bihar,14820,1318,2389,40,15,43
6,Chandigarh,340,462,446,100,30,85
7,Chhattisgarh,1896,1680,1649,0,60,84
8,Dadra and Nagar Haveli and Daman and Diu,195,81,67,0,0,33
9,Delhi,8400,10500,10500,52,55,55
10,Goa,183,260,260,52,62,65
11,Gujarat,9277,10145,10721,28,23,69
12,Haryana,3490,4514,4514,25,6,26
13,Himachal Pradesh,300,342,342,25,20,45
14,Jammu and Kashmir,1792,1374,1415,2,1,8
15,Jharkhand,2350,2327,2126,15,2,52
16,Karnataka,8784,10000,10000,40,22,32
17,Kerala,1576,1463,624,50,45,61
18,Madhya Pradesh,5079,6424,6424,14,18,68
19,Maharashtra,26820,22570,22570,10,35,57
20,Manipur,176,176,174,50,50,50
21,Meghalaya,268,268,268,58,58,58
22,Mizoram,253,201,201,4,4,4
23,Nagaland,270,342,342,0,15,52
24,Odisha,2460,2650,2720,2,1,12
25,Puducherry,495,350,350,20,3,10
26,Punjab,4100,4100,4100,10,10,38
27,Rajasthan,5247,6500,6500,16,10,56
28,Sikkim,49,89,89,0,66,66
29,Tamil Nadu,15272,15437,15437,16,8,57
30,Telangana,6628,8071,8634,49,67,73
31,Tripura,407,420,420,0,57,45
32,Uttar Pradesh,19180,15288,15500,13,20,57
33,Uttarakhand,1400,1406,1406,0.7,0,38
34,West Bengal,8675,7700,7700,6,5,5
Total/Average,Total/Average,157478,144413,145687,21.51,23.73,50.19
